pl_BM_3,pl_BM_6,pl_CRW_6
246.0,492.0,492.00000000000006
249.0,498.0,498.0000000000001
252.0,504.0,504.0000000000001
255.0,510.0,510.00000000000017
258.0,516.0,516.0000000000001
261.0,522.0,522.0
264.0,528.0,528.0
267.0,534.0,534.0
270.0,540.0,540.0
273.0,546.0,546.0
276.0,552.0,552.0
279.0,558.0,558.0
282.0,564.0,564.0
285.0,570.0,570.0
288.0,576.0,576.0
291.0,582.0,582.0000000000001
294.0,588.0,588.0000000000001
297.0,594.0,594.0000000000001
300.0,600.0,600.0000000000001
303.0,606.0,606.0000000000001
306.0,612.0,612.0000000000001
309.0,618.0,618.0000000000001
312.0,624.0,624.0000000000001
315.0,630.0,630.0000000000001
318.0,636.0,636.0000000000001
321.0,642.0,642.0000000000001
324.0,648.0,648.0000000000001
327.0,654.0,654.0000000000001
330.0,660.0,660.0000000000001
333.0,666.0,666.0000000000001
336.0,672.0,672.0000000000001
339.0,678.0,678.0000000000001
342.0,684.0,684.0000000000001
345.0,690.0,690.0000000000001
348.0,696.0,696.0000000000001
351.0,702.0,702.0000000000001
354.0,708.0,708.0000000000001
357.0,714.0,714.0000000000001
360.0,720.0,720.0000000000001
363.0,726.0,726.0000000000001
366.0,732.0,732.0000000000001
369.0,738.0,738.0000000000001
372.0,744.0,744.0000000000001
375.0,750.0,750.0000000000001
378.0,756.0,756.0000000000001
381.0,762.0,762.0000000000001
384.0,768.0,768.0000000000001
387.0,774.0,774.0000000000001
390.0,780.0,780.0000000000001
393.0,786.0,786.0000000000001
396.0,792.0,792.0000000000001
399.0,798.0,798.0000000000001
402.0,804.0,804.0000000000001
405.0,810.0,810.0000000000001
408.0,816.0,816.0000000000001
411.0,822.0,822.0000000000001
414.0,828.0,828.0000000000001
417.0,834.0,834.0000000000001
420.0,840.0,840.0000000000001
423.0,846.0,846.0000000000001
426.0,852.0,852.0000000000001
429.0,858.0,858.0000000000001
432.0,864.0,864.0000000000001
435.0,870.0,870.0000000000001
438.0,876.0,876.0000000000001
441.0,882.0,882.0000000000001
444.0,888.0,888.0000000000001
447.0,894.0,894.0000000000001
450.0,900.0,900.0000000000001
453.0,906.0,906.0
456.0,912.0,912.0
459.0,918.0,918.0
462.0,924.0,924.0
465.0,930.0,930.0
468.0,936.0,936.0
471.0,942.0,942.0
474.0,948.0,948.0
477.0,954.0,954.0
480.0,960.0,960.0
483.0,966.0,966.0
486.0,972.0,972.0
489.0,978.0,978.0
492.0,984.0,984.0
495.0,990.0,990.0
498.0,996.0,996.0
501.0,1002.0,1002.0
504.0,1008.0,1008.0
507.0,1014.0000000000001,1014.0
510.0,1020.0000000000001,1020.0
513.0,1026.0,1026.0
516.0,1032.0,1032.0
519.0,1038.0,1038.0
522.0,1044.0,1044.0
525.0,1050.0,1050.0
528.0,1056.0,1056.0
531.0,1062.0,1062.0
534.0,1068.0,1068.0
537.0,1074.0,1074.0
540.0,1080.0,1080.0
543.0,1086.0,1086.0
546.0,1092.0,1092.0
549.0,1098.0,1098.0
552.0,1104.0,1104.0
555.0,1110.0,1110.0
558.0,1116.0,1116.0
561.0,1122.0,1122.0
564.0,1128.0,1128.0
567.0,1134.0,1134.0
570.0,1140.0,1140.0
573.0,1146.0,1146.0
576.0,1152.0,1152.0
579.0,1158.0,1158.0
582.0,1164.0,1164.0
585.0,1170.0,1170.0
588.0,1176.0,1176.0
591.0,1182.0,1182.0
594.0,1188.0,1188.0
597.0,1194.0,1194.0
600.0,1200.0,1200.0
603.0,1206.0,1206.0
606.0,1212.0,1212.0
609.0,1218.0,1218.0
612.0,1224.0,1224.0
615.0,1230.0,1230.0
618.0,1236.0,1236.0
621.0,1242.0,1242.0
624.0,1248.0,1248.0
627.0,1254.0,1254.0
630.0,1260.0,1260.0
633.0,1266.0,1266.0
636.0,1272.0,1272.0
639.0,1278.0,1278.0
642.0,1284.0,1284.0
645.0,1290.0,1290.0
648.0,1296.0,1296.0
651.0,1302.0,1302.0
654.0,1308.0,1308.0
657.0,1314.0,1314.0
660.0,1320.0,1320.0
663.0,1326.0,1326.0
666.0,1332.0,1332.0
669.0,1338.0,1338.0
672.0,1344.0,1344.0
675.0,1350.0,1350.0
678.0,1356.0,1356.0
681.0,1362.0,1362.0
684.0,1368.0,1368.0
687.0,1374.0,1374.0
690.0,1380.0,1380.0
693.0,1386.0,1386.0
696.0,1392.0,1392.0
699.0,1398.0,1398.0
702.0,1404.0,1404.0
705.0,1410.0,1410.0
708.0,1416.0,1416.0
711.0,1422.0,1422.0
714.0,1428.0,1428.0
717.0,1434.0,1434.0
720.0,1440.0,1440.0
723.0,1446.0,1446.0
726.0,1452.0,1452.0
729.0,1458.0,1458.0
732.0,1464.0,1464.0
735.0,1470.0,1470.0
738.0,1476.0,1476.0
741.0,1482.0,1482.0
744.0,1488.0,1488.0
747.0,1494.0,1494.0
750.0,1500.0,1500.0
753.0,1506.0,1506.0
756.0,1512.0,1512.0
759.0,1518.0,1518.0
762.0,1524.0,1524.0
765.0,1530.0,1530.0
768.0,1536.0,1536.0
771.0,1542.0,1542.0
774.0,1548.0,1548.0
777.0,1554.0,1554.0
780.0,1560.0,1560.0
783.0,1566.0,1566.0
786.0,1572.0,1572.0
789.0,1578.0,1578.0
792.0,1584.0,1584.0
795.0,1590.0,1590.0
798.0,1596.0,1596.0
801.0,1602.0,1602.0
